Date: 14/04/2024 Time: 16:47:59
Test 1 Concatenation Successful
Test 2 Length Failed
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Failed
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 68.42%
Date: 14/04/2024 Time: 16:48:33
Test 1 Concatenation Successful
Test 2 Length Failed
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Failed
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 68.42%
Date: 14/04/2024 Time: 16:49:55
Test 1 Concatenation Successful
Test 2 Length Failed
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Failed
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 68.42%
Date: 15/04/2024 Time: 15:50:33
Test 1 Concatenation Successful
Test 2 Length Failed
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Failed
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 68.42%
Date: 15/04/2024 Time: 15:51:45
Test 1 Concatenation Successful
Test 2 Length Successful
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Failed
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 73.68%
Date: 15/04/2024 Time: 15:53:44
Test 1 Concatenation Successful
Test 2 Length Successful
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Successful
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
Test 13 Operator== Failed
Test 14 Operator= Successful
Test 15 Operator[] Failed
Test 16 Operator!= Successful
Test 17 Operator< Successful
Test 18 Operator+ Failed
Test 19 Operator+= Failed
Successful 78.95%
Date: 15/04/2024 Time: 16:03:52
Test 1 Concatenation Successful
Test 2 Length Successful
Test 3 CharacterAt Successful
Test 4 EqualTo Successful
Test 5 ToUpper Successful
Test 6 ToLower Successful
Test 7 Prepend Successful
Test 8 Append Successful
Test 9 Find Successful
Test 10 FindFromIndex Successful
Test 11 Replace Successful
Test 12 Copy Successful
